id,ending_at,available_tickets,max_tickets_per_user,video,draw_link,question_id,product_id,created_at,updated_at,slug,hero_display,homepage_display,draw_at,status,winning_ticket_id,shipped_at,meta_title,meta_image,meta_description,app_id,prize_2,prize_3,prize_2_winning_ticket_id,prize_3_winning_ticket_id,unlimited_tickets,ticket_price,tickets_remaining_notification_number,description,details,tickets_bought,category_id,user_id,commission,title,summary,body_color,panel_color,highlight_color,text_color,charity_id,charity_donation,threshold,uuid,promotional_image,promotional_video,order,type,listing_price,unique_link_amount,total_revenue,charity_donation_total,squarespace_variant_id,access_expiry_days,shipping_price,access_link_expiry_at,shipping_costs,publicly_visible,free_tickets_issued,turrence_token_id,affiliate_commission,take_home_pay,raffaly_commission,affiliate_commission_total,revoked_prizes_total,published_at,is_drop,brand_id
562,2025-11-12 22:00:00,50,10,,,2,,2025-11-12 16:41:55,2025-11-12 22:30:06,enter-to-a-win-free-hot-stone-full-body,false,false,2025-11-12 22:15:05,ended,,,,,,,,,,,false,200,,,,27,6,3591,10,Free hot stone full body,"Win yourself a relaxing hot stone full body massage worth £73. Perfect for de stress, aches, pains or pure pamper time. 
MUST BE AVAILABLE TO HAVE TREATMENT TOMORROW 13/11/2025.

Subject to availability, one winner only, one per person, cannot exchange for cash. No show appointment forfeits prize.",#F3F4F5,#FFFFFF,#400280,#000000,,,36,32a0fccb-7aef-44d4-a2bf-3ee3027ec22d,raffles/562/1762546200_Image.webp,,1,traditional,,,5400,0,,,,,,true,2,,,4860,540,0,0,2025-11-12 16:59:03,false,
523,2025-11-10 07:00:00,20000,,,,2,,2025-10-22 05:58:28,2025-11-10 07:30:06,enter-to-a-win-50000-cash-raising-money-for-charity,false,false,2025-11-10 07:15:05,ended,,,,,,,,,,,false,500,,,,4,20,3519,10,"£50,000 CASH!!!! Raising money for charity","We are launching our new cash raffles with a mega £50,000 cash prize. 🤩 All whilst raising money for the wonderful Great Ormond Street charity along the way ♥️♥️.

Follow us as weekly cash prizes coming soon!! Good luck 🤞","rgb(255, 183, 78)","rgb(246, 124, 1)",#400280,#000000,,,14000,12ecf50c-cb96-4c84-ac2a-483717d4c4aa,raffles/523/1761215994_IMG_6485.webp,,1,traditional,,,2000,90,,,,,,true,0,,,1710,200,0,0,2025-10-23 10:52:49,false,
526,2025-11-16 21:00:00,500,10,,,2,,2025-10-24 13:06:56,2025-11-16 21:30:06,enter-to-a-win-500-in-time-for-christmas,false,false,2025-11-16 21:15:05,ended,,,,,,,,,,,false,250,,,,19,20,3526,10,£500 in time for Christmas,"Christmas is coming, and £500 could be yours just in time for the holidays! Whether you’re buying gifts, planning a festive treat, or simply want some extra spending money, this prize could make your season sparkle.

Tickets are just £2.50 each, and entries are capped for fair odds, so don’t wait!

Win Cash. Win Tech. Win With Virtue.","rgb(255, 204, 128)","rgb(222, 222, 222)","rgb(100, 181, 246)",#000000,,,300,ebddbc7c-6441-433c-8a8f-ec2e21d69c69,raffles/526/1761311216_500.webp,,1,traditional,,,4750,0,,,,,,true,0,,,4275,475,0,0,2025-10-24 13:38:07,false,
554,2025-11-15 18:00:00,1000,,,,2,,2025-11-10 14:10:12,2025-11-20 17:47:30,enter-to-a-win-hull-seahawks-remembrance-jerseys,false,false,2025-11-15 18:15:05,ended,,,,,,,,,,,false,200,,,,521,11,2577,10,Hull Seahawks Remembrance Jerseys,"Your chance to win a Hull Seahawks 2025 Remembrance Jersey, some jerseys are game-worn!",#A9A9A9,"rgb(0, 0, 0)","rgb(254, 216, 53)",#FFFFFF,,,,6d554840-86f8-48c4-8aff-201c11482f0a,raffles/554/1762783812_IMG_1136 .jpeg,,1,traditional,,,104200,0,,,,,,true,521,,0,93780,10420,0,0,2025-11-12 16:22:42,false,
473,2025-11-06 11:00:00,2000,,,,5,,2025-09-22 11:44:30,2025-11-06 11:30:10,enter-to-a-win-art-dining-more-charity-raffle-2025,false,false,2025-11-06 11:15:05,awaiting_acceptance,,,,,,,,,,,false,500,,,,456,9,3331,10,"Art, Dining & More – Charity Raffle 2025","Win incredible prizes and support three vital charities!

We are raising funds for The Brain Tumour Charity, The National Brain Appeal, and the International Children’s Palliative Care Network (ICPCN) through a special charity raffle, part of our Gavel Sculpture Trail & Auction project.

From luxury experiences and dining to unique art prints and theatre tickets, there’s something for everyone.

Tickets are just £5, or save with bundles (5 for £20, 15 for £50). 

Raffle runs until 6 November 2025.","rgb(255, 255, 255)",#FFFFFF,#400280,#000000,,,,455917a2-766c-44ab-9924-a4afd3d56f18,raffles/473/1758541470_DSC09301A.jpg,,1,traditional,,,228000,0,,,,,,true,192,,,205200,22800,0,0,2025-09-29 09:50:29,false,
429,2025-11-10 11:30:00,1000,1000,,,2,,2025-09-09 18:50:37,2025-11-10 12:00:07,enter-to-a-win-the-ultimate-glow-up-raffle,false,false,2025-11-10 11:45:05,awaiting_acceptance,,,,,,,,,,,false,150,,,,11,6,3193,10,The Ultimate glow-up raffle,"It’s time to glow from the inside out 💖
One lucky winner will receive the full beauty + self-care package, worth over £300+, including:
💉 Skin Booster Treatment
💆‍♀️ Deep Cleansing or Luxury Glow Facial
£20 voucher toward your next treatment — from @caeli_andco
💇‍♀️ Full Hair Colour & Cut or Cut & Blow Dry – from @glamhaus
💄 Free Makeover & HD Brows – by @kpcosmetics_
🕯️ Luxury Candle Hamper to set the mood – from @meltedmoodcandles
This is the ultimate glow-up from head to toe — skin, hair, face, and vibe.
All for the price of a raffle ticket 🎟️","rgb(0, 0, 0)","rgb(93, 53, 176)",#400280,"rgb(32, 151, 243)",,,,8f96e21f-9e86-40d9-b610-5d5099626827,raffles/429/1757443837_Poster - Experience the Ultimate Glow Up Transformation Raffle.webp,,1,traditional,,,1650,0,,,,,,true,0,,,1485,165,0,0,2025-09-25 09:10:44,false,
548,2025-11-15 17:30:00,50,10,,,2,,2025-11-07 19:41:53,2025-11-11 12:39:09,enter-to-a-win-free-full-body-massage,false,false,2025-11-10 13:48:48,ended,,,,,,,,,,,false,200,,,,50,6,3591,10,Free full body massage,"Win yourself a relaxing 60 minute full body massage worth £54. Perfect for de stress, aches, pains or pure pamper time. Winner can book anytime within 3 months.

Subject to availability, one winner only, one per person, cannot exchange for cash. No show appointment forfeits prize.",#F3F4F5,#FFFFFF,#400280,#000000,,,30,b0efce9e-5ad9-4d17-8ffa-da346e9fdbe6,raffles/548/1762546200_Image.webp,,1,traditional,,,10000,450,,,,,,true,0,,,8550,1000,0,0,2025-11-08 18:06:00,false,
492,2025-11-09 14:00:00,5000,,,,2,,2025-10-06 19:07:03,2025-11-09 14:30:08,enter-to-a-win-saracens-arfc-sonics-charity-shield-raffle,false,false,2025-11-09 14:15:05,awaiting_acceptance,,,,,,,,,,,false,200,,,,505,11,3346,10,Saracens ARFC Sonics Charity Shield raffle,"Here's your chance to win BIG, in the Saracens ARFC Sonics Charity Shield raffle! This autumn our burgeoning junior girls' rugby section, the Saracens ARFC Sonics, are raising money for Wooden Spoon, the children's charity of rugby. To that end, they've not only launched a new tournament in the junior girls' rugby calendar - the Charity Shield - they're giving you the chance to win one or more of several fantastic prizes, including an entire junior rugby team's worth of tickets to see the Red Roses face Ireland in the Women's Six Nations. So, don't miss your chance to win BIG! And know that, by simply taking part, you'll be helping raise vital funds for Wooden Spoon and the disadvantaged children they support. Thank you in advance from all at Saracens ARFC Sonics!",#F3F4F5,#FFFFFF,"rgb(220, 4, 48)",#000000,,,200,26a0ace0-e238-4074-bdd6-e3c62f65a556,raffles/492/1759835015_Charity Shield medal proof (V3-2).webp,,1,traditional,,,101000,0,,,,,,true,485,,,90900,10100,0,0,2025-10-07 17:18:35,false,
